Ontology Name,Experiment Type,Experiment ID,Has errors,Goal Rewrite Time (ms)
StockExchange,INCONSISTENCY_THREAT,-exp-1,false,1
StockExchange,PREDICATE_SAT,-exp-1,false,4
StockExchange,PREDICATE_SAT,-exp-2,false,1
StockExchange,PREDICATE_SAT,-exp-3,false,0
StockExchange,PREDICATE_SAT,-exp-4,false,0
StockExchange,PREDICATE_SAT,-exp-5,false,2
StockExchange,PREDICATE_SAT,-exp-6,false,0
StockExchange,PREDICATE_SAT,-exp-7,false,1
StockExchange,PREDICATE_SAT,-exp-8,false,3
StockExchange,PREDICATE_SAT,-exp-9,false,0
StockExchange,PREDICATE_SAT,-exp-10,false,0
StockExchange,PREDICATE_SAT,-exp-11,false,0
StockExchange,PREDICATE_SAT,-exp-12,false,2
StockExchange,PREDICATE_SAT,-exp-13,false,0
StockExchange,PREDICATE_SAT,-exp-14,false,1
StockExchange,PREDICATE_SAT,-exp-15,false,1
StockExchange,PREDICATE_SAT,-exp-16,false,0
StockExchange,PREDICATE_SAT,-exp-17,false,1
StockExchange,PREDICATE_SAT,-exp-18,false,0
StockExchange,PREDICATE_SAT,-exp-19,false,0
StockExchange,PREDICATE_SAT,-exp-20,false,1
StockExchange,PREDICATE_SAT,-exp-21,false,1
StockExchange,PREDICATE_SAT,-exp-22,false,0
StockExchange,PREDICATE_SAT,-exp-23,false,1
StockExchange,PREDICATE_SAT,-exp-24,false,1
StockExchange,PREDICATE_SAT,-exp-25,false,0
StockExchange,PREDICATE_SAT,-exp-26,false,0
StockExchange,PREDICATE_SAT,-exp-27,false,0
StockExchange,PREDICATE_SAT,-exp-28,false,2
StockExchange,PREDICATE_SAT,-exp-29,false,0
StockExchange,PREDICATE_SAT,-exp-30,false,0
StockExchange,PREDICATE_SAT,-exp-1-with-errors-with-errors,true,1
StockExchange,QUERY_SAT,-exp-1,false,0
StockExchange,QUERY_SAT,-exp-2,false,29
StockExchange,QUERY_SAT,-exp-3,false,379
StockExchange,QUERY_SAT,-exp-4,false,1456
StockExchange,QUERY_SAT,-exp-5,false,14229
