Ontology Name,Experiment Type,Experiment ID,Experiment Filename,Result,Execution time (ms)
Adolena,PREDICATE_SAT,PREDICATE_SAT-exp-1,exp-1.txt,SAT,946
Adolena,PREDICATE_SAT,PREDICATE_SAT-exp-10,exp-10.txt,SAT,621
Adolena,PREDICATE_SAT,PREDICATE_SAT-exp-11,exp-11.txt,SAT,528
Adolena,PREDICATE_SAT,PREDICATE_SAT-exp-12,exp-12.txt,SAT,523
Adolena,PREDICATE_SAT,PREDICATE_SAT-exp-13,exp-13.txt,SAT,500
Adolena,PREDICATE_SAT,PREDICATE_SAT-exp-14,exp-14.txt,SAT,472
Adolena,PREDICATE_SAT,PREDICATE_SAT-exp-15,exp-15.txt,SAT,392
Adolena,PREDICATE_SAT,PREDICATE_SAT-exp-16,exp-16.txt,SAT,393
Adolena,PREDICATE_SAT,PREDICATE_SAT-exp-17,exp-17.txt,SAT,492
Adolena,PREDICATE_SAT,PREDICATE_SAT-exp-18,exp-18.txt,SAT,420
Adolena,PREDICATE_SAT,PREDICATE_SAT-exp-19,exp-19.txt,SAT,417
Adolena,PREDICATE_SAT,PREDICATE_SAT-exp-2,exp-2.txt,SAT,418
Adolena,PREDICATE_SAT,PREDICATE_SAT-exp-20,exp-20.txt,SAT,455
Adolena,PREDICATE_SAT,PREDICATE_SAT-exp-21,exp-21.txt,SAT,428
Adolena,PREDICATE_SAT,PREDICATE_SAT-exp-22,exp-22.txt,SAT,502
Adolena,PREDICATE_SAT,PREDICATE_SAT-exp-23,exp-23.txt,SAT,438
Adolena,PREDICATE_SAT,PREDICATE_SAT-exp-24,exp-24.txt,SAT,440
Adolena,PREDICATE_SAT,PREDICATE_SAT-exp-25,exp-25.txt,SAT,412
Adolena,PREDICATE_SAT,PREDICATE_SAT-exp-26,exp-26.txt,SAT,416
Adolena,PREDICATE_SAT,PREDICATE_SAT-exp-27,exp-27.txt,SAT,431
Adolena,PREDICATE_SAT,PREDICATE_SAT-exp-28,exp-28.txt,SAT,422
Adolena,PREDICATE_SAT,PREDICATE_SAT-exp-29,exp-29.txt,SAT,437
Adolena,PREDICATE_SAT,PREDICATE_SAT-exp-3,exp-3.txt,SAT,432
Adolena,PREDICATE_SAT,PREDICATE_SAT-exp-30,exp-30.txt,SAT,420
Adolena,PREDICATE_SAT,PREDICATE_SAT-exp-31,exp-31.txt,SAT,412
Adolena,PREDICATE_SAT,PREDICATE_SAT-exp-32,exp-32.txt,SAT,445
Adolena,PREDICATE_SAT,PREDICATE_SAT-exp-33,exp-33.txt,SAT,379
Adolena,PREDICATE_SAT,PREDICATE_SAT-exp-34,exp-34.txt,SAT,416
