@1462 :- Deafened(x), LightweightFoldable_Wheelchair(x)
@1461 :- Hard_of_hearing(x), LightweightFoldable_Wheelchair(x)
@1460 :- Stuttering(x), Foldable_Wheelchair(x)
@1459 :- Little_or_No_Speech(x), Foldable_Wheelchair(x)
@1458 :- Stuttering(x), Lightweight_Wheelchair(x)
@1457 :- Little_or_No_Speech(x), Lightweight_Wheelchair(x)
@1456 :- SpeechDisability(x), LightweightFoldable_Wheelchair(x)
@1455 :- Stuttering(x), BatteryPowered_Wheelchair(x)
@1454 :- Little_or_No_Speech(x), BatteryPowered_Wheelchair(x)
@1453 :- Stuttering(x), BrailleWatch(x)
@1452 :- Little_or_No_Speech(x), BrailleWatch(x)
@1473 :- Poliomyelitis(x), LightweightFoldable_Wheelchair(x)
@1472 :- Achondroplasia(x), LightweightFoldable_Wheelchair(x)
@1471 :- Osteogensis_Imperfecta(x), LightweightFoldable_Wheelchair(x)
@1470 :- Spina_Bifida(x), LightweightFoldable_Wheelchair(x)
@1 :- IRI(x, y, u), IRI(x, y, v), u<>v
@1469 :- Scoliosis(x), LightweightFoldable_Wheelchair(x)
@2 :- PhysicalDisability(x), MentalDisability(x)
@1468 :- Autism(x), LightweightFoldable_Wheelchair(x)
@3 :- Scoliosis(x), MentalDisability(x)
@1467 :- Epilepsy(x), LightweightFoldable_Wheelchair(x)
@4 :- Spina_Bifida(x), MentalDisability(x)
@1466 :- IntellectualDisability(x), LightweightFoldable_Wheelchair(x)
@5 :- Osteogensis_Imperfecta(x), MentalDisability(x)
@1465 :- LowVision(x), LightweightFoldable_Wheelchair(x)
@6 :- PhysicalDisability(x), IntellectualDisability(x)
@1464 :- Blind(x), LightweightFoldable_Wheelchair(x)
@7 :- Achondroplasia(x), MentalDisability(x)
@1463 :- Deaf(x), LightweightFoldable_Wheelchair(x)
@8 :- Poliomyelitis(x), MentalDisability(x)
@9 :- Amputation(x), MentalDisability(x)
@1000 :- Cerebral_palsy(x), WritingDevice(x)
@1484 :- Little_or_No_Speech(x), LightweightFoldable_Wheelchair(x)
@1483 :- Dystonia(x), LightweightFoldable_Wheelchair(x)
@1482 :- Hemiplegia(x), LightweightFoldable_Wheelchair(x)
@1481 :- Multiple_sclerosis(x), LightweightFoldable_Wheelchair(x)
@1480 :- Cerebral_palsy(x), LightweightFoldable_Wheelchair(x)
@1479 :- Quadriplegia(x), LightweightFoldable_Wheelchair(x)
@1478 :- Muscular_dystrophy(x), LightweightFoldable_Wheelchair(x)
@1477 :- Kyphosis(x), LightweightFoldable_Wheelchair(x)
@1476 :- Guillaume_Barre(x), LightweightFoldable_Wheelchair(x)
@1475 :- Paraplegia(x), LightweightFoldable_Wheelchair(x)
@1474 :- Amputation(x), LightweightFoldable_Wheelchair(x)
@1011 :- Quadriplegia(x), Wheelchair(x)
@1495 :- MentalDisability(x), HearingDisability(x)
@1010 :- Dystonia(x), FaceToFaceCommunicationDevice(x)
@1494 :- LowVision(x), Stuttering(x)
@1493 :- LowVision(x), Little_or_No_Speech(x)
@1492 :- Blind(x), Stuttering(x)
@1491 :- Blind(x), Little_or_No_Speech(x)
@1490 :- LowVision(x), SpeechDisability(x)
@1008 :- PhysicalDisability(x), SymbolBoard(x)
@1007 :- PhysicalDisability(x), FaceToFaceCommunicationSoftware(x)
@1006 :- Multiple_sclerosis(x), FaceToFaceCommunicationDevice(x)
@1005 :- Cerebral_palsy(x), FaceToFaceCommunicationDevice(x)
@1489 :- VisualDisability(x), Stuttering(x)
@1004 :- Quadriplegia(x), FaceToFaceCommunicationDevice(x)
@1488 :- VisualDisability(x), Little_or_No_Speech(x)
@1003 :- Dystonia(x), WritingDevice(x)
@1487 :- Blind(x), SpeechDisability(x)
@1002 :- Hemiplegia(x), WritingDevice(x)
@1486 :- VisualDisability(x), SpeechDisability(x)
@1001 :- Multiple_sclerosis(x), WritingDevice(x)
@1485 :- Stuttering(x), LightweightFoldable_Wheelchair(x)
@1009 :- Hemiplegia(x), FaceToFaceCommunicationDevice(x)
@1022 :- Stuttering(x), SpeechDevice(x)
@1021 :- Little_or_No_Speech(x), SpeechDevice(x)
@1020 :- Stuttering(x), ListenDevice(x)
@1019 :- Little_or_No_Speech(x), ListenDevice(x)
@1018 :- SpeechDisability(x), TelephoneAid(x)
@1017 :- Dystonia(x), Wheelchair(x)
@1016 :- Hemiplegia(x), Wheelchair(x)
@1015 :- PhysicalDisability(x), Manual_Wheelchair(x)
@1499 :- Epilepsy(x), HearingDisability(x)
@1014 :- PhysicalDisability(x), Motorised_Wheelchair(x)
@1498 :- MentalDisability(x), Deafened(x)
@1013 :- Multiple_sclerosis(x), Wheelchair(x)
@1497 :- MentalDisability(x), Hard_of_hearing(x)
@1012 :- Cerebral_palsy(x), Wheelchair(x)
@1496 :- IntellectualDisability(x), HearingDisability(x)
@1033 :- Stuttering(x), WritingDevice(x)
@1032 :- Little_or_No_Speech(x), WritingDevice(x)
@1031 :- SpeechDisability(x), BrailleWritingDevice(x)
@1030 :- Stuttering(x), ReadingDevice(x)
@1029 :- Little_or_No_Speech(x), ReadingDevice(x)
@1028 :- SpeechDisability(x), TactileReading(x)
@1027 :- Disability(x), BrailleWatch(x)
@1026 :- Disability(x), BraillePillOrganiser(x)
@1025 :- Disability(x), BrailleAlarmClock(x)
@600 :- FaceToFaceCommunicationSoftware(x), UpperLimbMobility(x)
@1024 :- SpeechDisability(x), TalkingReading(x)
@601 :- SymbolBoard(x), UpperLimbMobility(x)
@1023 :- Disability(x), Talking_Thermometer(x)
@602 :- BatteryPowered_Wheelchair(x), Hear(x)
@603 :- Lightweight_Wheelchair(x), Hear(x)
@604 :- Foldable_Wheelchair(x), Hear(x)
@605 :- BatteryPowered_Wheelchair(x), Hear_partially(x)
@606 :- Lightweight_Wheelchair(x), Hear_partially(x)
@607 :- Foldable_Wheelchair(x), Hear_partially(x)
@608 :- LightweightFoldable_Wheelchair(x), HearingAbility(x)
@609 :- BatteryPowered_Wheelchair(x), See(x)
@1044 :- Stuttering(x), Wheelchair(x)
@1043 :- Little_or_No_Speech(x), Wheelchair(x)
@1042 :- SpeechDisability(x), Manual_Wheelchair(x)
@1041 :- Disability(x), Foldable_Wheelchair(x)
@1040 :- Disability(x), Lightweight_Wheelchair(x)
@1039 :- SpeechDisability(x), Motorised_Wheelchair(x)
@1038 :- Disability(x), BatteryPowered_Wheelchair(x)
@1037 :- Stuttering(x), FaceToFaceCommunicationDevice(x)
@610 :- Lightweight_Wheelchair(x), See(x)
@1036 :- Little_or_No_Speech(x), FaceToFaceCommunicationDevice(x)
@611 :- Foldable_Wheelchair(x), See(x)
@1035 :- SpeechDisability(x), SymbolBoard(x)
